ASX listed companies as at Tue Oct 20 14:26:38 EST 2015

Company name,ASX code,GICS industry group
"HAMMER METALS LIMITED",HMX,"Materials"
"HAMPTON HILL MINING NL",HHM,"Materials"
"HANNANS REWARD LIMITED",HNR,"Materials"
"HANSEN TECHNOLOGIES LIMITED",HSN,"Software & Services"
"HAOMA MINING NL",HAO,"Materials"
"HARANGA RESOURCES LIMITED",HAR,"Materials"
"HARVEST MINERALS LTD",HMI,"Materials"
"HARVEY NORMAN HOLDINGS LIMITED",HVN,"Retailing"
"HARVEY TRUST 2006-1",HTR,"Not Applic"
"HASTINGS HIGH YIELD FUND",HHY,"Not Applic"
"HASTINGS TECHNOLOGY METALS LTD",HAS,"Materials"
"HAVILAH RESOURCES LIMITED",HAV,"Materials"
"HAWKLEY OIL AND GAS LIMITED",HOG,"Energy"
"HAWTHORN RESOURCES LIMITED",HAW,"Materials"
"HAZELWOOD RESOURCES LTD",HAZ,"Materials"
"HAZER GROUP LIMITED",HZR,"Class Pend"
"HEALTHSCOPE LIMITED.",HSO,"Health Care Equipment & Services"
"HEEMSKIRK CONSOLIDATED LIMITED",HSK,"Materials"
"HELIX RESOURCES LIMITED",HLX,"Materials"
"HELLOWORLD LIMITED",HLO,"Consumer Services"
"HENDERSON GROUP PLC.",HGG,"Diversified Financials"
"HENRY MORGAN LIMITED",HML,"Class Pend"
"HERITAGE BANK LIMITED",HBS,"Not Applic"
"HERON RESOURCES LIMITED",HRR,"Materials"
"HFA HOLDINGS LIMITED",HFA,"Diversified Financials"
"HGL LIMITED",HNG,"Capital Goods"
"HIGH PEAK ROYALTIES LIMITED",HPR,"Utilities"
"HIGHFIELD RESOURCES LIMITED",HFR,"Materials"
"HIGHLANDS PACIFIC LIMITED",HIG,"Materials"
"HILL END GOLD LIMITED",HEG,"Materials"
"HILLCREST LITIGATION SERVICES LIMITED.",HLS,"Diversified Financials"
"HILLGROVE RESOURCES LIMITED",HGO,"Materials"
"HILLS LIMITED",HIL,"Technology Hardware & Equipment"
"HITECH GROUP AUSTRALIA LIMITED",HIT,"Commercial Services & Supplies"
"HJB CORPORATION LIMITED",HJB,"Commercial Services & Supplies"
"HODGES RESOURCES LIMITED",HDG,"Materials"
"HOLISTA COLLTECH LIMITED",HCT,"Household & Personal Products"
"HOMELOANS LIMITED",HOM,"Banks"
"HORIZON OIL LIMITED",HZN,"Energy"
"HORSESHOE METALS LIMITED",HOR,"Materials"
"HOT CHILI LIMITED",HCH,"Materials"
"HOTEL PROPERTY INVESTMENTS",HPI,"Real Estate"
"HRL HOLDINGS LTD",HRL,"Commercial Services & Supplies"
"HUB24 LIMITED",HUB,"Diversified Financials"
"HUDSON INVESTMENT GROUP LIMITED",HGL,"Real Estate"
"HUGHES DRILLING LIMITED",HDX,"Capital Goods"
"HUNTER HALL GLOBAL VALUE LIMITED",HHV,"Diversified Financials"
"HUNTER HALL INTERNATIONAL LIMITED",HHL,"Diversified Financials"
"HUON AQUACULTURE GROUP LIMITED",HUO,"Food, Beverage & Tobacco"
"HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED",HTA,"Telecommunication Services"
"HYPO REAL ESTATE BANK INTERNATIONAL AKTIENGESELLSCHAFT",HYP,"Not Applic"
"HYPOTHEKENBANK IN ESSEN AKTIENGESELLSCHAFT",HES,"Not Applic"
"HYUNDAI CAPITAL SERVICES, INC.",HCS,"Not Applic"
"IAG FINANCE (NEW ZEALAND) LIMITED",IAN,"Not Applic"
"IATIA LIMITED",IAT,"Not Applic"
"IBOSSES CORPORATION LIMITED",IB8,"Consumer Services"
"ICANDY INTERACTIVE LIMITED",ICI,"Class Pend"
"ICAR ASIA LIMITED",ICQ,"Media"
"ICOLLEGE LIMITED",ICT,"Consumer Services"
"ICON ENERGY LIMITED",ICN,"Energy"
"ICSGLOBAL LIMITED",ICS,"Health Care Equipment & Services"
"IDM INTERNATIONAL LTD",IDM,"Materials"
"IDOL 2010-1 TRUST",IDF,"Not Applic"
"IDOL 2011-1 TRUST",IDH,"Not Applic"
"IDOL 2011-2 TRUST",IDJ,"Not Applic"
"IDT AUSTRALIA LIMITED",IDT,"Pharmaceuticals & Biotechnology"
"IKWEZI MINING LIMITED",IKW,"Energy"
"ILH GROUP LIMITED.",ILH,"Commercial Services & Supplies"
"ILLAWARRA SERIES 2006-1 RMBS TRUST",ILA,"Not Applic"
"ILUKA RESOURCES LIMITED",ILU,"Materials"
"IM MEDICAL LTD",IMI,"Health Care Equipment & Services"
"IMAGE RESOURCES NL",IMA,"Materials"
"IMDEX LIMITED",IMD,"Materials"
"IMF BENTHAM LIMITED",IMF,"Diversified Financials"
"IMMURON LIMITED",IMC,"Pharmaceuticals & Biotechnology"
"IMPACT MINERALS LIMITED",IPT,"Materials"
"IMPEDIMED LIMITED",IPD,"Health Care Equipment & Services"
"IMPERIAL PACIFIC LIMITED",IPC,"Diversified Financials"
"IMUGENE LIMITED",IMU,"Pharmaceuticals & Biotechnology"
"IMX RESOURCES LIMITED",IXR,"Materials"
"INABOX GROUP LIMITED",IAB,"Telecommunication Services"
"INCA MINERALS LIMITED",ICG,"Materials"
"INCITEC PIVOT LIMITED",IPL,"Materials"
"INCREMENTAL OIL AND GAS LIMITED",IOG,"Energy"
"INDEPENDENCE GROUP NL",IGO,"Materials"
"INDIA RESOURCES LIMITED",IRL,"Materials"
"INDIGO PROPERTIES AUSTRALIA LIMITED",IPA,"Diversified Financials"
"INDO MINES LIMITED",IDO,"Materials"
"INDOCHINE MINING LIMITED",IDC,"Materials"
"INDOOR SKYDIVE AUSTRALIA GROUP LIMITED",IDZ,"Consumer Services"
"INDOPAC HOLDINGS LIMITED",IDP,"Consumer Services"
"INDUS COAL LIMITED",ICZ,"Energy"
"INDUS ENERGY NL",IND,"Energy"
"INDUSTRIA REIT",IDR,"Real Estate"
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED",ICB,"Not Applic"
"INFIGEN ENERGY",IFN,"Utilities"
"INFOMEDIA LTD",IFM,"Software & Services"
"INFRATIL LIMITED",IFZ,"Utilities"
"INGENIA COMMUNITIES GROUP",INA,"Real Estate"
"INNATE IMMUNOTHERAPEUTICS LIMITED",IIL,"Pharmaceuticals & Biotechnology"
"INSURANCE AUSTRALIA GROUP LIMITED",IAG,"Insurance"
"INTEC LTD",INL,"Materials"
"INTEGRAL DIAGNOSTICS LIMITED",IDX,"Class Pend"
"INTEGRATED RESEARCH LIMITED",IRI,"Software & Services"
"INTERMIN RESOURCES LIMITED",IRC,"Materials"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.",IEQ,"Real Estate"
"INTERNATIONAL FINANCE CORPORATION",IFX,"Not Applic"
"INTERNATIONAL GOLDFIELDS LIMITED...",IGS,"Materials"
"INTERSTAR MILLENIUM SERIES 2006-2G TRUST",INB,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2002-1G TRUST",IMG,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2003-3G TRUST",IMX,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-1E TRUST",IMQ,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-2G TRUST",IMK,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-5 TRUST",IMN,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2005-2L TRUST",IMO,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-3L TRUST",INN,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-4H TRUST",INH,"Not Applic"
"INTRA ENERGY CORPORATION LIMITED",IEC,"Energy"
"INTREPID MINES LIMITED",IAU,"Materials"
"INTUERI EDUCATION GROUP LIMITED",IQE,"Consumer Services"
"INVENTIS LIMITED",IVT,"Commercial Services & Supplies"
"INVESTA OFFICE FUND",IOF,"Real Estate"
"INVESTIGATOR RESOURCES LTD",IVR,"Materials"
"INVIGOR GROUP LIMITED",IVO,"Media"
"INVION LIMITED",IVX,"Pharmaceuticals & Biotechnology"
"INVOCARE LIMITED",IVC,"Consumer Services"
"IOOF HOLDINGS LIMITED",IFL,"Diversified Financials"
"IPB PETROLEUM LIMITED",IPB,"Energy"
"IPE LIMITED",IPE,"Diversified Financials"
"IPH LIMITED",IPH,"Commercial Services & Supplies"
"IPROPERTY GROUP LIMITED",IPP,"Software & Services"
"IQ3CORP LIMITED",IQ3,"Diversified Financials"
"IRESS LIMITED",IRE,"Software & Services"
"IRON MOUNTAIN MINING LIMITED",IRM,"Materials"
"IRON ROAD LIMITED",IRD,"Materials"
"IRONBARK CAPITAL LIMITED",IBC,"Diversified Financials"
"IRONBARK ZINC LTD",IBG,"Materials"
"ISELECT LIMITED.",ISU,"Consumer Services"
"ISENTIA GROUP LIMITED",ISD,"Software & Services"
"ISENTRIC LIMITED.",ICU,"Software & Services"
"ISHARES ASIA 50 ETF",IAA,"Not Applic"
"ISHARES CHINA LARGE-CAP ETF",IZZ,"Not Applic"
"ISHARES CORE S&P 500 ETF",IVV,"Not Applic"
"ISHARES CORE S&P MID-CAP ETF",IJH,"Not Applic"
"ISHARES CORE S&P SMALL-CAP ETF",IJR,"Not Applic"
"ISHARES EUROPE ETF",IEU,"Not Applic"
"ISHARES GLOBAL 100 ETF",IOO,"Not Applic"
"ISHARES MSCI BRIC ETF",IBK,"Not Applic"
"ISHARES MSCI EAFE ETF",IVE,"Not Applic"
"ISHARES MSCI EMERGING MARKETS ETF",IEM,"Not Applic"
"ISHARES MSCI HONG KONG ETF",IHK,"Not Applic"
"ISHARES MSCI JAPAN ETF",IJP,"Not Applic"
"ISHARES MSCI SINGAPORE ETF",ISG,"Not Applic"
"ISHARES MSCI SOUTH KOREA CAPPED ETF",IKO,"Not Applic"
"ISHARES MSCI TAIWAN ETF",ITW,"Not Applic"
"ISHARES RUSSELL 2000 ETF",IRU,"Not Applic"
"ISHINE INTERNATIONAL RESOURCES LIMITED",ISH,"Materials"
"ISIGNTHIS LTD",ISX,"Software & Services"
"ISONEA LIMITED",ISN,"Health Care Equipment & Services"
"ITL LIMITED",ITD,"Health Care Equipment & Services"
"IWEBGATE LIMITED",IWG,"Software & Services"
"JACKA RESOURCES LIMITED",JKA,"Energy"
"JAMES HARDIE INDUSTRIES PLC",JHX,"Materials"
"JAMESON RESOURCES LIMITED",JAL,"Materials"
"JAPARA HEALTHCARE LIMITED",JHC,"Health Care Equipment & Services"
"JATENERGY LIMITED",JAT,"Energy"
"JB HI-FI LIMITED",JBH,"Retailing"
"JCURVE SOLUTIONS LTD",JCS,"Software & Services"
"JERVOIS MINING LIMITED",JRV,"Materials"
"JINDALEE RESOURCES LIMITED",JRL,"Materials"
"JOHN SHEARER (HOLDINGS) LIMITED",SHR,"Commercial Services & Supplies"
"JOYCE CORPORATION LIMITED",JYC,"Retailing"
"JUMBO INTERACTIVE LIMITED",JIN,"Consumer Services"
"JUPITER ENERGY LIMITED",JPR,"Energy"
"JUSTKAPITAL LITIGATION PARTNERS LIMITED",JKL,"Diversified Financials"
"JV GLOBAL LIMITED",JVG,"Capital Goods"
"K & S CORPORATION LIMITED",KSC,"Transportation"
"K2 ASSET MANAGEMENT HOLDINGS LTD",KAM,"Diversified Financials"
"K2 ENERGY LIMITED.",KTE,"Utilities"
"KABOKO MINING LIMITED",KAB,"Materials"
"KAILI RESOURCES LIMITED",KLR,"Energy"
"KAIRIKI ENERGY LIMITED",KIK,"Energy"
"KALINA POWER LIMITED",KPO,"Utilities"
"KALNORTH GOLD MINES LIMITED",KGM,"Materials"
"KANGAROO ISLAND PLANTATION TIMBERS LTD",KPT,"Materials"
"KANGAROO RESOURCES LIMITED",KRL,"Materials"
"KAROON GAS AUSTRALIA LIMITED",KAR,"Energy"
"KASBAH RESOURCES LIMITED",KAS,"Materials"
"KATANA CAPITAL LIMITED",KAT,"Not Applic"
"KATHMANDU HOLDINGS LIMITED",KMD,"Retailing"
"KAZAKHSTAN POTASH CORPORATION LIMITED",KPC,"Materials"
"KBL MINING LIMITED",KBL,"Materials"
"KEY PETROLEUM LIMITED",KEY,"Energy"
"KEYBRIDGE CAPITAL LIMITED",KBC,"Diversified Financials"
"KFW",KFW,"Not Applic"
"KGL RESOURCES LIMITED",KGL,"Materials"
"KIBARAN RESOURCES LIMITED",KNL,"Materials"
"KIDMAN RESOURCES LIMITED",KDR,"Materials"
"KILLARA RESOURCES LIMITED",KRA,"Materials"
"KIMBERLEY DIAMONDS LTD",KDL,"Materials"
"KIN MINING NL",KIN,"Materials"
"KINA PETROLEUM LIMITED",KPL,"Energy"
"KINA SECURITIES LIMITED",KSL,"Diversified Financials"
"KINETIKO ENERGY LTD",KKO,"Energy"
"KING ISLAND SCHEELITE LIMITED",KIS,"Materials"
"KING RIVER COPPER LIMITED",KRC,"Materials"
"KING SOLOMON MINES LIMITED",KSO,"Materials"
"KINGFORM HEALTH HOMETEXTILE GROUP LIMITED",KFG,"Consumer Durables & Apparel"
"KINGSGATE CONSOLIDATED LIMITED.",KCN,"Materials"
"KINGSROSE MINING LIMITED",KRM,"Materials"
"KINGSTON RESOURCES LIMITED",KSN,"Materials"
"KIP MCGRATH EDUCATION CENTRES LIMITED",KME,"Consumer Services"
"KNEOMEDIA LIMITED",KNM,"Software & Services"
"KNOSYS LIMITED",KNO,"Software & Services"
"KOGI IRON LIMITED",KFE,"Materials"
"KOLLAKORN CORPORATION LIMITED",KKL,"Technology Hardware & Equipment"
"KONEKT LIMITED",KKT,"Health Care Equipment & Services"
"KOON HOLDINGS LIMITED",KNH,"Capital Goods"
"KORAB RESOURCES LIMITED",KOR,"Materials"
"KOREA SOUTH-EAST POWER CO LTD",KOP,"Not Applic"
"KORVEST LTD",KOV,"Capital Goods"
"KRAKATOA RESOURCES LIMITED",KTA,"Materials"
"KRESTA HOLDINGS LIMITED",KRS,"Consumer Durables & Apparel"
"KTL TECHNOLOGIES LIMITED",KTL,"Capital Goods"
"KULA GOLD LIMITED",KGD,"Materials"
"KUNENE RESOURCES LIMITED",KNE,"Materials"
"LACHLAN STAR LIMITED",LSA,"Materials"
"LACONIA RESOURCES LIMITED",LCR,"Materials"
"LAKE RESOURCES N.L.",LKE,"Materials"
"LAKES OIL NL",LKO,"Energy"
"LAMBOO RESOURCES LIMITED",LMB,"Materials"
"LAND AND MINERAL EXPLORATION LIMITED",LDM,"Not Applic"
"LANDMARK WHITE LIMITED",LMW,"Real Estate"
"LANEWAY RESOURCES LTD",LNY,"Materials"
"LANKA GRAPHITE LIMITED",LGR,"Not Applic"
"LANTERN HOTEL GROUP",LTN,"Real Estate"
"LARAMIDE RESOURCES LTD",LAM,"Energy"
"LASERBOND LIMITED",LBL,"Capital Goods"
"LASSETERS CORPORATION LIMITED",LAS,"Not Applic"
"LATAM AUTOS LIMITED",LAA,"Software & Services"
"LATIN RESOURCES LIMITED",LRS,"Materials"
"LATITUDE CONSOLIDATED LIMITED",LCD,"Materials"
"LATROBE MAGNESIUM LIMITED",LMG,"Materials"
"LAWSON GOLD LIMITED",LSN,"Materials"
"LBT INNOVATIONS LIMITED",LBT,"Health Care Equipment & Services"
"LEAF RESOURCES LTD",LER,"Materials"
"LEGACY IRON ORE LIMITED",LCY,"Materials"
"LEGEND CORPORATION LIMITED",LGD,"Technology Hardware & Equipment"
"LEGEND MINING LIMITED",LEG,"Materials"
"LEIGH CREEK ENERGY LIMITED",LCK,"Materials"
"LEMARNE CORPORATION LIMITED",LMC,"Technology Hardware & Equipment"
"LEND LEASE GROUP",LLC,"Real Estate"
"LEOPARD RESOURCES NL",LRR,"Materials"
"LEYSHON RESOURCES LIMITED",LRL,"Materials"
"LIFE CORPORATION LTD",LFC,"Consumer Services"
"LIFEHEALTHCARE GROUP LIMITED",LHC,"Health Care Equipment & Services"
"LIFESTYLE COMMUNITIES LIMITED",LIC,"Real Estate"
"LINCOLN MINERALS LIMITED",LML,"Materials"
"LINDIAN RESOURCES LIMITED",LIN,"Materials"
"LINDSAY AUSTRALIA LIMITED",LAU,"Transportation"
"LINK ADMINISTRATION HOLDINGS LIMITED",LNK,"Class Pend"
"LION ENERGY LIMITED",LIO,"Energy"
"LION ONE METALS LIMITED",LLO,"Materials"
"LION SELECTION GROUP LIMITED.",LSX,"Diversified Financials"
"LION SERIES 2007-1 TRUST",LNS,"Not Applic"
"LIONHUB GROUP LIMITED",LHB,"Real Estate"
"LIONTOWN RESOURCES LIMITED",LTR,"Materials"
"LIQUEFIED NATURAL GAS LIMITED",LNG,"Energy"
"LITHEX RESOURCES LIMITED",LTX,"Materials"
"LITHIUM AUSTRALIA NL",LIT,"Materials"
"LIVETILES LIMITED",LVT,"Energy"
"LIVING CELL TECHNOLOGIES LIMITED",LCT,"Pharmaceuticals & Biotechnology"
"LODESTAR MINERALS LIMITED",LSR,"Materials"
"LOGICAMMS LIMITED",LCM,"Capital Goods"
"LONDON CITY EQUITIES LIMITED",LCE,"Diversified Financials"
"LONESTAR RESOURCES LIMITED",LNR,"Energy"
"LONGREACH OIL LIMITED",LGO,"Energy"
"LOVISA HOLDINGS LIMITED",LOV,"Retailing"
"LUCAPA DIAMOND COMPANY LIMITED",LOM,"Materials"
"LUIRI GOLD LIMITED",LGM,"Materials"
"LWP TECHNOLOGIES LIMITED",LWP,"Energy"
"LYCOPODIUM LIMITED",LYL,"Capital Goods"
"LYNAS CORPORATION LIMITED",LYC,"Materials"
"M2 GROUP LTD",MTU,"Telecommunication Services"
"MACA LIMITED",MLD,"Capital Goods"
"MACMAHON HOLDINGS LIMITED",MAH,"Capital Goods"
"MACPHERSONS RESOURCES LIMITED",MRP,"Materials"
"MACQUARIE ATLAS ROADS GROUP",MQA,"Transportation"
"MACQUARIE BANK LIMITED",MBL,"Not Applic"
"MACQUARIE GROUP LIMITED",MQG,"Diversified Financials"
"MACQUARIE RADIO NETWORK LIMITED",MRN,"Media"
"MACQUARIE TELECOM GROUP LIMITED",MAQ,"Telecommunication Services"
"MAGELLAN FINANCIAL GROUP LIMITED",MFG,"Diversified Financials"
"MAGELLAN FLAGSHIP FUND LIMITED",MFF,"Diversified Financials"
"MAGNETIC RESOURCES NL",MAU,"Materials"
"MAGNIS RESOURCES LIMITED.",MNS,"Materials"
"MAGNUM GAS & POWER LIMITED",MPE,"Energy"
"MAGNUM MINING AND EXPLORATION LIMITED",MGU,"Materials"
"MAGONTEC LIMITED",MGL,"Materials"
"MAINSTREAMBPO LIMITED",MAI,"Diversified Financials"
"MAKO HYDROCARBONS LTD.",MKE,"Energy"
"MALABAR COAL LIMITED",MBC,"Energy"
"MALACHITE RESOURCES LIMITED",MAR,"Materials"
"MALAGASY MINERALS LIMITED",MGY,"Materials"
"MANAGED ACCOUNTS HOLDINGS LIMITED",MGP,"Diversified Financials"
"MANALTO LIMITED",MTL,"Software & Services"
"MANAS RESOURCES LIMITED",MSR,"Materials"
"MANDALONG RESOURCES LIMITED",MDD,"Materials"
"MANHATTAN CORPORATION LIMITED",MHC,"Energy"
"MANTLE MINING CORPORATION LIMITED",MNM,"Materials"
"MANTRA GROUP LIMITED",MTR,"Consumer Services"
"MARENICA ENERGY LTD",MEY,"Energy"
"MARINDI METALS LIMITED",MZN,"Materials"
"MARINER CORPORATION LIMITED",MCX,"Diversified Financials"
"MARION ENERGY LIMITED",MAE,"Energy"
"MARMOTA ENERGY LIMITED",MEU,"Energy"
"MARTIN AIRCRAFT COMPANY LIMITED",MJP,"Capital Goods"
"MASTERMYNE GROUP LIMITED",MYE,"Capital Goods"
"MATRIX COMPOSITES & ENGINEERING LIMITED",MCE,"Energy"
"MATSA RESOURCES LIMITED",MAT,"Materials"
"MAVERICK DRILLING AND EXPLORATION LIMITED",MAD,"Energy"
"MAXIMUS RESOURCES LIMITED",MXR,"Materials"
"MAXITRANS INDUSTRIES LIMITED",MXI,"Capital Goods"
"MAXSEC GROUP LIMITED",MSP,"Technology Hardware & Equipment"
"MAYAN IRON CORPORATION LIMITED",MYN,"Materials"
"MAYNE PHARMA GROUP LIMITED",MYX,"Pharmaceuticals & Biotechnology"
"MAZU ALLIANCE LIMITED",MZU,"Retailing"
"MCALEESE LIMITED",MCS,"Transportation"
"MCMILLAN SHAKESPEARE LIMITED",MMS,"Commercial Services & Supplies"
"MCPHERSON'S LIMITED",MCP,"Consumer Durables & Apparel"
"MDS FINANCIAL GROUP LIMITED",MWS,"Diversified Financials"
"MEC RESOURCES LIMITED",MMR,"Energy"
"MEDALLION TRUST SERIES 2013-2",MBJ,"Not Applic"
"MEDALLION TRUST SERIES 2014-1",MDZ,"Not Applic"
"MEDALLION TRUST SERIES 2014-1P",MPZ,"Not Applic"
"MEDALLION TRUST SERIES 2014-2",MZB,"Not Applic"
"MEDALLION TRUST SERIES 2015-1",MZA,"Not Applic"
"MEDIBANK PRIVATE LIMITED",MPL,"Insurance"
"MEDIBIO LIMITED",MEB,"Pharmaceuticals & Biotechnology"
"MEDICAL AUSTRALIA LIMITED",MLA,"Health Care Equipment & Services"
"MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED",MVP,"Pharmaceuticals & Biotechnology"
"MEDIGARD LIMITED",MGZ,"Health Care Equipment & Services"
"MEDIVAC LIMITED",MDV,"Health Care Equipment & Services"
"MEDLAB CLINICAL LIMITED",MDC,"Pharmaceuticals & Biotechnology"
"MEDTECH GLOBAL LIMITED",MDG,"Health Care Equipment & Services"
"MEDUSA MINING LIMITED",MML,"Materials"
"MELBOURNE IT LIMITED",MLB,"Software & Services"
"MEO AUSTRALIA LIMITED",MEO,"Energy"
"MERCANTILE INVESTMENT COMPANY LTD",MVT,"Diversified Financials"
"MERCHANT HOUSE INTERNATIONAL LIMITED",MHI,"Consumer Durables & Apparel"
"MERIDIAN ENERGY LIMITED",MEZ,"Utilities"
"MERLIN DIAMONDS LIMITED",MED,"Materials"
"MESA MINERALS LIMITED",MAS,"Materials"
"MESOBLAST LIMITED",MSB,"Pharmaceuticals & Biotechnology"
"METAL BANK LIMITED",MBK,"Materials"
"METALICITY LIMITED",MCT,"Materials"
"METALIKO RESOURCES LIMITED",MKO,"Materials"
"METALLICA MINERALS LIMITED",MLM,"Materials"
"METALLUM LIMITED",MNE,"Materials"
"METALS AUSTRALIA LTD",MLS,"Materials"
"METALS OF AFRICA LIMITED",MTA,"Materials"
"METALS X LIMITED",MLX,"Materials"
"METCASH LIMITED",MTS,"Food & Staples Retailing"
"METEORIC RESOURCES NL",MEI,"Materials"
"METGASCO LIMITED",MEL,"Energy"
"METLIFECARE LIMITED",MEQ,"Health Care Equipment & Services"
"METMINCO LIMITED",MNC,"Materials"
"METRO MINING LIMITED",MMI,"Energy"
"METRO PERFORMANCE GLASS LIMITED",MPP,"Materials"
"METROLAND AUSTRALIA LIMITED",MTD,"Real Estate"
"MG UNIT TRUST",MGC,"Food, Beverage & Tobacco"
"MGM WIRELESS LIMITED",MWR,"Software & Services"
"MGT RESOURCES LIMITED",MGS,"Materials"
"MHM METALS LIMITED",MHM,"Materials"
"MIDDLE ISLAND RESOURCES LIMITED",MDI,"Materials"
"MIGHTY RIVER POWER LIMITED",MYT,"Utilities"
"MIGME LIMITED",MIG,"Software & Services"
"MILLENNIUM MINERALS LIMITED",MOY,"Materials"
"MILLINIUM'S ALTERNATIVES FUND.",MAX,"Not Applic"
"MILTON CORPORATION LIMITED",MLT,"Diversified Financials"
"MINBOS RESOURCES LIMITED",MNB,"Materials"
"MINCOR RESOURCES NL",MCR,"Materials"
"MINDAX LIMITED",MDX,"Materials"
"MINEMAKERS LIMITED",MAK,"Materials"
"MINERA GOLD LIMITED",MIZ,"Materials"
"MINERAL COMMODITIES LTD",MRC,"Materials"
"MINERAL DEPOSITS LIMITED",MDL,"Materials"
"MINERAL RESOURCES LIMITED",MIN,"Commercial Services & Supplies"
"MINERALS CORPORATION LIMITED",MSC,"Materials"
"MINING PROJECTS GROUP LIMITED",MPJ,"Materials"
"MINOTAUR EXPLORATION LTD",MEP,"Materials"
"MINQUEST LIMITED",MNQ,"Materials"
"MINREX RESOURCES NL",MRR,"Materials"
"MINT PAYMENTS LIMITED",MNW,"Software & Services"
"MINTAILS LIMITED",MLI,"Materials"
"MIRABELA NICKEL LIMITED",MBN,"Materials"
"MIRRABOOKA INVESTMENTS LIMITED",MIR,"Diversified Financials"
"MIRVAC GROUP",MGR,"Real Estate"
"MISSION NEWENERGY LIMITED",MBT,"Energy"
"MITCHELL SERVICES LIMITED",MSV,"Capital Goods"
"MITHRIL RESOURCES LIMITED",MTH,"Materials"
"MITULA GROUP LIMITED",MUA,"Software & Services"
"MMA OFFSHORE LIMITED",MRM,"Transportation"
"MMJ PHYTOTECH LIMITED",MMJ,"Pharmaceuticals & Biotechnology"
"MNC MEDIA INVESTMENT LTD",MIH,"Telecommunication Services"
"MOBILARM LIMITED",MBO,"Technology Hardware & Equipment"
"MOBILE EMBRACE LIMITED",MBE,"Software & Services"
"MOD RESOURCES LIMITED",MOD,"Materials"
"MOKO SOCIAL MEDIA LIMITED",MKB,"Software & Services"
"MOLOPO ENERGY LIMITED",MPO,"Energy"
"MOLY MINES LIMITED",MOL,"Materials"
"MONADELPHOUS GROUP LIMITED",MND,"Capital Goods"
"MONASH IVF GROUP LIMITED",MVF,"Pharmaceuticals & Biotechnology"
"MONAX MINING LIMITED",MOX,"Materials"
"MONEY3 CORPORATION LIMITED",MNY,"Diversified Financials"
"MONGOLIAN RESOURCE CORPORATION LTD",MUB,"Materials"
"MONTEC INTERNATIONAL LIMITED",MTI,"Food, Beverage & Tobacco"
"MONTECH HOLDINGS LIMITED",MOQ,"Software & Services"
"MONTEZUMA MINING COMPANY LTD",MZM,"Materials"
"MONTO MINERALS LTD",MOO,"Materials"
"MOOTER MEDIA LIMITED",MMZ,"Software & Services"
"MORETON RESOURCES LTD",MRV,"Energy"
"MORNING STAR GOLD N.L.",MCO,"Materials"
"MORTGAGE CHOICE LIMITED",MOC,"Banks"
"MOTOPIA LIMITED",MOT,"Software & Services"
"MOUNT BURGESS MINING NL",MTB,"Materials"
"MOUNT GIBSON IRON LIMITED",MGX,"Materials"
"MOUNT MAGNET SOUTH NL",MUM,"Materials"
"MOUNT RIDLEY MINES LIMITED",MRD,"Materials"
"MOV CORPORATION LIMITED",MOV,"Technology Hardware & Equipment"
"MOZAMBI RESOURCES LTD",MOZ,"Energy"
"MRG METALS LIMITED",MRQ,"Materials"
"MRL CORPORATION LTD",MRF,"Materials"
"MUI CORPORATION LIMITED",MUI,"Media"
"MULTIPLEX SITES TRUST",MXU,"Real Estate"
"MULTISTACK INTERNATIONAL LIMITED",MSI,"Capital Goods"
"MURCHISON HOLDINGS LIMITED",MCH,"Diversified Financials"
"MUSGRAVE MINERALS LIMITED",MGV,"Materials"
"MUSTANG RESOURCES LIMITED",MUS,"Materials"
"MUSTERA PROPERTY GROUP LIMITED",MPX,"Real Estate"
"MY NET FONE LIMITED",MNF,"Telecommunication Services"
"MYER HOLDINGS LIMITED",MYR,"Retailing"
"MYFIZIQ LIMITED",MYQ,"Software & Services"
"MYOB GROUP LIMITED",MYO,"Software & Services"
"MYSTATE LIMITED",MYS,"Banks"
"MZI RESOURCES LTD",MZI,"Materials"
"NAGAMBIE MINING LIMITED",NAG,"Materials"
"NAMIBIAN COPPER NL",NCO,"Materials"
"NAMOI COTTON CO-OPERATIVE LIMITED",NAM,"Commercial Services & Supplies"
"NANOSONICS LIMITED",NAN,"Health Care Equipment & Services"
"NAOS ABSOLUTE OPPORTUNITIES COMPANY LIMITED",NAC,"Not Applic"
"NAOS EMERGING OPPORTUNITIES COMPANY LIMITED",NCC,"Not Applic"
"NARACOOTA RESOURCES LIMITED",NRR,"Materials"
"NATIONAL AUSTRALIA BANK LIMITED",NAB,"Banks"
"NATIONAL RMBS TRUST 2011-1 SERIES 2011-1",NAF,"Not Applic"
